IdPersona,TotalVisitas,DiasActivo,TiempoActivoDias,VisitasUlt30,VisitasUlt90,VisitasUlt180,PropUlt90,DiasDesdeUltima,tasa_caida_visitas,DuracionMediaTotal,DuracionMediaUlt90,DeltaDuracionUlt90VsTotal,StdDiasEntreVisitas,FrecuenciaModal,MaxRachaSinVisita,MaxRachaConVisita,SemanasConVisitaRatio,HoraMediaAcceso,PropVisitasFinDeSemana,PropVisitasFestivo,VisitasPrimerTrimestre,VisitasUltimoTrimestre,DiaFav_domingo,DiaFav_jueves,DiaFav_lunes,DiaFav_martes,DiaFav_miércoles,DiaFav_sábado,DiaFav_viernes,EstFav_invierno,EstFav_otono,EstFav_primavera,EstFav_verano,TieneAccesos
334,3,3,7,3,3,3,1.0,394,1.0,50.42222222222222,50.42222222222222,0.0,1.5,2.0,5.0,1,1.0,11.144444444444446,0.0,0.0,3,3,False,False,False,True,False,False,False,False,True,False,False,True
2476,4,4,56,2,4,4,1.0,56,1.0,81.40833333333333,81.40833333333333,0.0,4.642796092394706,14.0,25.0,1,0.4444444444444444,9.4875,0.0,0.0,4,4,False,True,False,False,False,False,False,False,False,False,True,True
2926,4,4,60,1,4,4,1.0,303,1.0,40.06666666666666,40.06666666666666,0.0,14.514360704718161,6.0,40.0,1,0.4444444444444444,15.662500000000001,0.0,0.0,4,4,False,True,False,False,False,False,False,False,True,False,False,True
3461,36,35,358,2,4,5,0.1111111111111111,45,0.2222222222222222,95.45740740740742,117.15416666666667,0.22729256794769812,23.910650005248065,1.0,116.0,6,0.28846153846153844,9.173611111111112,0.16666666666666666,0.027777777777777776,18,4,False,False,True,False,False,False,False,False,True,False,False,True
4016,61,60,334,11,18,39,0.29508196721311475,51,9.0,83.15081967213115,88.99074074074075,0.07023287433168753,14.171998996456205,1.0,103.0,3,0.5416666666666666,12.221584699453553,0.08196721311475409,0.01639344262295082,2,18,False,False,True,False,False,False,False,True,False,False,False,True
4525,94,93,352,3,19,44,0.20212765957446807,49,0.6551724137931034,172.93670212765957,165.02719298245614,-0.045736440257573174,6.735956258582711,1.0,38.0,8,0.6078431372549019,11.641134751773047,0.22340425531914893,0.06382978723404255,29,19,False,False,False,False,False,False,True,False,True,False,False,True
5374,4,4,230,2,2,2,0.5,113,1.0,32.670833333333334,27.975,-0.14373166687922456,78.32553152637325,13.0,187.0,1,0.12121212121212122,12.85,0.0,0.0,2,2,False,False,False,False,True,False,False,False,True,False,False,True
5753,2,2,306,1,1,1,0.5,72,1.0,76.7,74.26666666666667,-0.03172533681008262,0.0,306.0,306.0,1,0.045454545454545456,13.591666666666665,0.0,0.0,1,1,False,False,False,True,False,False,False,False,True,False,False,True
5754,18,18,336,2,4,8,0.2222222222222222,56,0.8,70.59814814814814,64.88333333333333,-0.08094850877423079,18.222576210213095,7.0,64.0,1,0.3469387755102041,12.150925925925927,0.0,0.1111111111111111,5,4,False,True,False,False,False,False,False,True,False,False,False,True
5818,3,3,30,3,3,3,1.0,274,1.0,235.37222222222223,235.37222222222223,0.0,13.0,2.0,28.0,1,0.4,17.372222222222224,0.0,0.0,3,3,False,False,False,False,True,False,False,True,False,False,False,True
