Feature,Importance
VidaGymMeses,0.6512692255266722
DiasActivo,0.099390715028515
TotalVisitas,0.0650539271959048
EstFav_verano,0.03395595536416382
Edad,0.03206124448654137
EstFav_otono,0.031193115374645558
VisitasUlt180,0.028643999910867544
EstFav_primavera,0.01663066290149985
VisitasUlt90,0.01399055404189369
VisitasUltimoTrimestre,0.010818753176890353
VisitasPrimerTrimestre,0.010253137683559859
TienePagos,0.003659957898211259
Sexo_Mujer,0.0006334790611773168
DiaFav_jueves,0.0005655957343184384
DiaFav_lunes,0.0005125122342366817
DiaFav_miercoles,0.000336603885030376
DiaFav_sabado,0.00026273840769960074
ratio_cantidad_2025_2024,0.00021229046923988964
DiaFav_domingo,0.00020877800214888007
TieneAccesos,0.00017739909546069524
DiaFav_viernes,0.00010785669007099074
DiaFav_martes,5.724048413775776e-05
EstFav_invierno,4.257347114087585e-06
UsoServiciosExtra,0.0
Diversidad_servicios_extra,0.0
