Feature,Importance
DiasActivo,0.3190582776358701
TotalVisitas,0.23191297244858453
Edad,0.13176011228950518
VisitasPrimerTrimestre,0.10187267856422562
VisitasUlt180,0.06074474877903913
TienePagos,0.043120399251930265
VisitasUlt90,0.029303171913802502
VisitasUltimoTrimestre,0.029301206601685614
EstFav_otono,0.021264486115195068
EstFav_verano,0.016167806692069294
Sexo_Mujer,0.0034446268567669405
EstFav_invierno,0.0033966346358817114
DiaFav_jueves,0.0018573363837596983
EstFav_primavera,0.0017478053403530308
DiaFav_lunes,0.0015475170258598917
DiaFav_martes,0.0011690828662932794
DiaFav_sabado,0.000587174513674447
DiaFav_viernes,0.0005338752935582818
DiaFav_miercoles,0.0004324353012277195
ratio_cantidad_2025_2024,0.00033696149911032326
DiaFav_domingo,0.0003350627447997212
TieneAccesos,0.00010562724680774922
UsoServiciosExtra,0.0
Diversidad_servicios_extra,0.0
