Feature,Importance
TotalPagadoEconomia,0.7075625266897835
VidaGymMeses,0.1681120713839959
Edad,0.0357446643731681
TienePagos,0.025728328333615033
TotalVisitas,0.0201841240557352
EstFav_verano,0.012244465277884361
DiasActivo,0.01121991359873808
EstFav_otono,0.008742910197152136
VisitasUlt180,0.003500817203630692
EstFav_primavera,0.0026824913552923138
VisitasUlt90,0.001224425881332827
VisitasPrimerTrimestre,0.0009321606617923258
VisitasUltimoTrimestre,0.0008716194748575643
DiaFav_jueves,0.000383471350715847
DiaFav_viernes,0.0003793221434197347
DiaFav_lunes,0.00017854232038908282
DiaFav_martes,0.00014942692408275487
Sexo_Mujer,0.00012084070517167751
DiaFav_miercoles,2.0812327723994135e-05
TieneAccesos,1.1731278968751096e-05
DiaFav_sabado,5.334462550111783e-06
UsoServiciosExtra,0.0
ratio_cantidad_2025_2024,0.0
Diversidad_servicios_extra,0.0
DiaFav_domingo,0.0
EstFav_invierno,0.0
